time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-05T12:06:31.705Z,-22.2335,-179.5812,569.43,4.5,mb,39,92,4.207,0.99,us,us6000jljt,2023-02-05T12:26:11.040Z,"south of the Fiji Islands",earthquake,13.85,8.196,0.088,38,reviewed,us,us
2023-02-05T10:31:32.297Z,-24.2996,-67.2368,179.294,4.7,mb,46,43,1.596,0.7,us,us6000jljf,2023-02-06T18:49:38.648Z,"93 km W of San Antonio de los Cobres, Argentina",earthquake,3.46,7.08,0.112,24,reviewed,us,us
2023-02-05T09:59:20.797Z,7.7321,126.0821,13.569,4.7,mb,55,87,0.826,0.51,us,us6000jlje,2023-02-05T10:50:38.391Z,"1 km E of Babag, Philippines",earthquake,7.2,4.5,0.07,61,reviewed,us,us
2023-02-05T09:06:30.636Z,16.8186,-99.6767,25.046,4.5,mb,46,129,1.294,0.38,us,us6000jljd,2023-02-06T01:34:09.697Z,"0 km WNW of San Pedro Cacahuatepec, Mexico",earthquake,7.34,4.886,0.091,35,reviewed,us,us
2023-02-05T05:12:23.460Z,-21.8191,-173.9461,10,5,mb,31,69,1.338,1.41,us,us6000jlii,2023-02-05T05:38:36.040Z,"",earthquake,7.4,1.873,0.091,39,reviewed,us,us
2023-02-05T04:40:14.167Z,-5.2133,152.3428,35,4.7,mb,17,152,6.615,0.68,us,us6000jli6,2023-02-05T05:03:28.040Z,"96 km S of Kokopo, Papua New Guinea",earthquake,10.16,1.919,0.104,28,reviewed,us,us
2023-02-05T01:14:22.508Z,55.8678,162.6442,54.278,4.8,mb,61,112,3.682,0.92,us,us6000jlhk,2023-02-05T01:33:29.040Z,"41 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,9.33,7.129,0.048,136,reviewed,us,us
2023-02-05T01:02:45.925Z,-29.6451,-71.2485,68.019,5.5,mww,73,100,0.273,0.95,us,us6000jlhg,2023-02-06T01:06:31.032Z,"28 km N of La Serena, Chile",earthquake,4.11,3.737,0.062,25,reviewed,us,us
2023-02-05T00:40:01.366Z,-32.7538,117.5406,10,4.5,mb,30,111,0.307,0.54,us,us6000jlhb,2023-02-06T05:39:47.603Z,"39 km ENE of Narrogin, Australia",earthquake,4.34,1.954,0.121,20,reviewed,us,us
2023-02-05T00:03:19.589Z,32.6723,141.7624,10,5.8,mww,176,72,1.698,0.85,us,us6000jlh9,2023-02-06T00:10:18.635Z,"Izu Islands, Japan region",earthquake,6.05,1.813,0.058,29,reviewed,us,us
2023-02-04T22:10:30.001Z,-19.9365,-173.2423,10,4.8,mb,28,88,1.048,0.74,us,us6000jlgz,2023-02-04T23:04:16.040Z,"117 km E of Pangai, Tonga",earthquake,7.01,1.877,0.134,17,reviewed,us,us
2023-02-04T16:40:40.024Z,22.8501,144.0089,40.137,4.5,mb,33,122,9.247,0.78,us,us6000jlf8,2023-02-04T18:33:01.040Z,"Volcano Islands, Japan region",earthquake,13.41,8.136,0.076,51,reviewed,us,us
2023-02-04T16:35:39.166Z,12.5593,-88.349,52.812,4.6,mb,31,182,1.282,1.06,us,us6000jlf4,2023-02-04T18:27:53.040Z,"76 km SSW of Chirilagua, El Salvador",earthquake,6.98,9.194,0.038,212,reviewed,us,us
2023-02-04T12:48:41.536Z,11.7637,-88.3387,10,4.7,mb,27,179,1.763,1,us,us6000jle9,2023-02-04T13:12:06.040Z,"145 km SW of Jiquilillo, Nicaragua",earthquake,9.86,1.96,0.062,78,reviewed,us,us
2023-02-04T12:23:26.144Z,37.4308,72.719,57.398,4.7,mb,52,65,2.167,0.51,us,us6000jldt,2023-02-04T12:48:59.040Z,"64 km NE of Khand?d, Afghanistan",earthquake,6.35,7.817,0.071,61,reviewed,us,us
2023-02-04T12:22:37.007Z,-6.3817,146.2246,111.785,5.9,mww,127,19,3.143,0.48,us,us6000jlds,2023-02-06T18:17:02.040Z,"41 km ESE of Kainantu, Papua New Guinea",earthquake,7.78,4.094,0.043,52,reviewed,us,us
2023-02-04T06:04:14.764Z,34.8953,14.218,10,4.9,mb,57,101,5.246,0.5,us,us6000jlch,2023-02-06T10:04:21.067Z,"central Mediterranean Sea",earthquake,9.56,1.898,0.082,46,reviewed,us,us
2023-02-04T05:09:36.637Z,-21.87,-173.9015,10,5.2,mb,25,115,1.399,1.06,us,us6000jlc7,2023-02-04T05:37:48.817Z,"123 km ESE of ‘Ohonua, Tonga",earthquake,6.77,1.826,0.102,32,reviewed,us,us
2023-02-04T02:48:46.145Z,-2.5377,140.6538,29.885,4.8,mb,32,111,8.404,0.95,us,us6000jlbq,2023-02-04T15:42:43.671Z,"6 km NNE of Abepura, Indonesia",earthquake,7.38,5.178,0.131,18,reviewed,us,us
2023-02-04T02:45:46.062Z,34.3437,45.7045,10,4.7,mb,50,67,3.414,0.69,us,us6000jlbp,2023-02-04T10:42:19.958Z,"Iran-Iraq border region",earthquake,8.61,1.777,0.06,83,reviewed,us,us
2023-02-04T02:00:03.163Z,-32.7253,-69.1428,51.083,4.5,mwr,54,44,1.239,0.63,us,us6000jlb9,2023-02-06T19:34:15.092Z,"Mendoza, Argentina",earthquake,5.49,6.588,0.041,57,reviewed,us,us
2023-02-04T01:46:35.792Z,-7.2114,-80.7894,10,4.5,mb,17,209,5.142,1.01,us,us6000jlbd,2023-02-04T03:28:01.040Z,"103 km WSW of Pimentel, Peru",earthquake,12.33,1.982,0.243,5,reviewed,us,us
2023-02-03T23:58:12.678Z,-5.6504,149.2188,176.009,4.6,mb,60,33,3.273,0.72,us,us6000jlap,2023-02-04T00:29:50.040Z,"71 km NNW of Kandrian, Papua New Guinea",earthquake,7.6,6.539,0.07,61,reviewed,us,us
2023-02-03T23:14:20.198Z,-38.8851,175.8628,101.267,5,mww,55,59,0.871,0.71,us,us6000jl9z,2023-02-04T23:17:55.015Z,"12 km NNE of Turangi, New Zealand",earthquake,4.92,4.674,0.089,12,reviewed,us,us
2023-02-03T17:54:30.902Z,-15.5316,167.5173,121.179,5.2,mww,219,23,5.862,0.7,us,us6000jl7u,2023-02-04T16:37:03.803Z,"38 km E of Luganville, Vanuatu",earthquake,9.14,4.263,0.078,16,reviewed,us,us
2023-02-03T17:23:40.643Z,2.6348,126.8338,34.348,4.9,mb,102,90,1.926,0.59,us,us6000jl7m,2023-02-03T18:01:20.040Z,"164 km NW of Tobelo, Indonesia",earthquake,8.39,5.089,0.061,91,reviewed,us,us
2023-02-03T12:14:40.802Z,37.0695,96.8538,10,5,mb,67,47,12.415,0.62,us,us6000jl5u,2023-02-03T12:33:46.040Z,"northern Qinghai, China",earthquake,9.61,1.876,0.052,116,reviewed,us,us
2023-02-03T12:04:19.653Z,37.0211,96.8814,10,5.1,mww,99,32,12.397,0.48,us,us6000jl5t,2023-02-03T16:47:36.074Z,"northern Qinghai, China",earthquake,8.5,1.844,0.098,10,reviewed,us,us
2023-02-03T09:50:50.571Z,-18.8447,-69.6955,99.294,4.9,mb,70,94,0.642,1.44,us,us6000jl5c,2023-02-03T10:23:54.707Z,"75 km ESE of Arica, Chile",earthquake,6.42,6.734,0.054,109,reviewed,us,us
2023-02-03T08:54:43.357Z,84.8841,7.8852,10,4.5,mb,67,108,6.031,0.5,us,us6000jl55,2023-02-03T09:19:48.040Z,"north of Svalbard",earthquake,7.29,1.832,0.073,54,reviewed,us,us
2023-02-03T08:49:27.171Z,-58.9644,-61.1839,10,4.8,mb,31,117,5.364,1.1,us,us6000jl53,2023-02-03T09:05:21.040Z,"Drake Passage",earthquake,9.34,1.939,0.121,21,reviewed,us,us
2023-02-03T00:46:49.009Z,12.063,-88.2168,10,4.5,mb,76,173,1.546,0.78,us,us6000jl37,2023-02-03T01:09:52.040Z,"",earthquake,7.31,1.963,0.05,119,reviewed,us,us
2023-02-03T00:10:05.501Z,-14.5981,166.7213,28.917,5.1,mb,84,33,0.964,0.54,us,us6000jl35,2023-02-03T01:21:26.040Z,"61 km NW of Port-Olry, Vanuatu",earthquake,7.26,4.028,0.045,159,reviewed,us,us
2023-02-02T23:05:07.079Z,2.4598,128.2243,88.201,5,mb,76,71,1.883,1.07,us,us6000jl2q,2023-02-02T23:30:02.040Z,"Halmahera, Indonesia",earthquake,4.02,6.996,0.053,115,reviewed,us,us
2023-02-02T21:20:42.921Z,-25.9042,178.3958,635.367,4.8,mb,49,83,4.66,0.72,us,us6000jl1t,2023-02-02T22:03:49.040Z,"",earthquake,15.11,9.043,0.08,48,reviewed,us,us
2023-02-02T17:42:18.916Z,13.9994,-91.4074,77.169,4.7,mb,110,164,1.029,0.61,us,us6000jl0g,2023-02-03T02:08:11.530Z,"25 km SSW of Nueva Concepción, Guatemala",earthquake,6.87,8.413,0.035,242,reviewed,us,us
2023-02-02T15:33:32.896Z,-22.4831,-178.2449,316.282,4.5,mb,72,106,3.113,1.1,us,us6000jkzy,2023-02-02T22:23:37.040Z,"south of the Fiji Islands",earthquake,13.82,7.988,0.063,80,reviewed,us,us
